01/01/2000,January 01\,2000,Saturday,Saturday,1,1,1,92,Week 1,1,1,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 14,14,14,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekend,None,None,2000-01-01
01/02/2000,January 02\,2000,Sunday,Sunday,2,2,2,93,Week 1,1,1,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 14,14,14,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekend,None,None,2000-01-02
01/03/2000,January 03\,2000,Monday,Monday,3,3,3,94,Week 1,1,1,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 14,14,14,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-03
01/04/2000,January 04\,2000,Tuesday,Tuesday,4,4,4,95,Week 1,1,1,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 14,14,14,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-04
01/05/2000,January 05\,2000,Wednesday,Wednesday,5,5,5,96,Week 1,1,1,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 14,14,14,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-05
01/06/2000,January 06\,2000,Thursday,Thursday,6,6,6,97,Week 1,1,1,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 14,14,14,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-06
01/07/2000,January 07\,2000,Friday,Friday,7,7,7,98,Week 1,1,1,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 14,14,14,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-07
01/08/2000,January 08\,2000,Saturday,Saturday,8,8,8,99,Week 2,2,2,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 15,15,15,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekend,None,None,2000-01-08
01/09/2000,January 09\,2000,Sunday,Sunday,9,9,9,100,Week 2,2,2,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 15,15,15,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekend,None,None,2000-01-09
01/10/2000,January 10\,2000,Monday,Monday,10,10,10,101,Week 2,2,2,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 15,15,15,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-10
01/11/2000,January 11\,2000,Tuesday,Tuesday,11,11,11,102,Week 2,2,2,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 15,15,15,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-11
01/12/2000,January 12\,2000,Wednesday,Wednesday,12,12,12,103,Week 2,2,2,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 15,15,15,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-12
01/13/2000,January 13\,2000,Thursday,Thursday,13,13,13,104,Week 2,2,2,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 15,15,15,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-13
01/14/2000,January 14\,2000,Friday,Friday,14,14,14,105,Week 2,2,2,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 15,15,15,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-14
01/15/2000,January 15\,2000,Saturday,Saturday,15,15,15,106,Week 3,3,3,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 16,16,16,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekend,None,None,2000-01-15
01/16/2000,January 16\,2000,Sunday,Sunday,16,16,16,107,Week 3,3,3,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 16,16,16,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekend,None,None,2000-01-16
01/17/2000,January 17\,2000,Monday,Monday,17,17,17,108,Week 3,3,3,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 16,16,16,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-17
01/18/2000,January 18\,2000,Tuesday,Tuesday,18,18,18,109,Week 3,3,3,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 16,16,16,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-18
01/19/2000,January 19\,2000,Wednesday,Wednesday,19,19,19,110,Week 3,3,3,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 16,16,16,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-19
01/20/2000,January 20\,2000,Thursday,Thursday,20,20,20,111,Week 3,3,3,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 16,16,16,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-20
01/21/2000,January 21\,2000,Friday,Friday,21,21,21,112,Week 3,3,3,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 16,16,16,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekday,None,None,2000-01-21
01/22/2000,January 22\,2000,Saturday,Saturday,22,22,22,113,Week 4,4,4,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 17,17,17,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekend,None,None,2000-01-22
01/23/2000,January 23\,2000,Sunday,Sunday,23,23,23,114,Week 4,4,4,January,1,1,2000-01,Q1,1,1,2000-Q1,2000,FY Week 17,17,17,4,4,4,FY2000-04,FY Q2,FY2000-Q2,2,2,FY2000,2000,Nonholiday,Weekend,None,None,2000-01-23
