4512	1	227177
4512	2	443497
4512	3	564404
4512	4	706660
4512	5	478804
4512	6	118154
4512	7	861446
4512	8	496151
4512	9	385740
4512	10	387213
4512	11	29289
4512	12	501317
4512	13	248388
4512	14	21019
4512	15	420629
4512	16	942016
4512	17	870264
4512	18	705386
4512	19	291370
4512	20	467500
4512	21	427625
4512	22	270479
4512	23	189257
4512	24	81478
4512	25	257850
4512	26	6753
4512	27	77268
4512	28	148085
4512	29	888346
4512	30	410085
4512	31	215343
4512	32	36377
4512	33	591828
4512	34	221447
4512	35	22361
4512	36	521272
4512	37	568345
4512	38	157290
4512	39	609165
4512	40	145924
4512	41	210520
4512	42	379403
4512	43	18236
4512	44	428332
4512	45	453612
4512	46	810052
4512	47	556851
4512	48	361941
4512	49	952432
4512	50	838018
